mean,median,max,sum
25.998116,26.705757,26.937487,3369355.8
17.332077,16.311314,26.937487,4492474.5
11.554717,8.901919,26.937487,4492474.0
17.332077,17.803839,17.958324,2246237.2
8.6660385,7.881156,17.958324,2246237.2
5.777359,0.0,17.958324,2246237.2
